-0.95241,0,-0.30481,0
-0.83582,0.14613,-0.2675,-0.45661
-0.51459,0.25649,-0.16469,-0.80143
-0.067371,0.30405,-0.021561,-0.95003
0.39634,0.27716,0.12685,-0.86603
0.76302,0.18242,0.2442,-0.56999
0.94288,0.043015,0.30176,-0.1344
0.89189,-0.10692,0.28544,0.33409
0.62254,-0.23068,0.19924,0.72079
0.20076,-0.29796,0.064253,0.93101
-0.27016,-0.29229,-0.086463,0.91329
-0.67495,-0.21506,-0.21601,0.67197
-0.91448,-0.085169,-0.29267,0.26612
-0.93011,0.065571,-0.29767,-0.20488
-0.71803,0.20026,-0.2298,-0.62572
-0.33014,0.28591,-0.10566,-0.89336
0.13858,0.30157,0.04435,-0.94228
0.57336,0.24339,0.1835,-0.76049
0.86777,0.12562,0.27772,-0.39251
0.94972,-0.022907,0.30395,0.071575
0.79914,-0.16582,0.25576,0.51813
0.45291,-0.26814,0.14495,0.83783
-0.0042151,-0.30481,-0.001349,0.9524
-0.46031,-0.26685,-0.14732,0.83379
-0.8037,-0.16355,-0.25722,0.51104
-0.95032,-0.020216,-0.30414,0.063166
-0.86426,0.12807,-0.2766,-0.40017
-0.56661,0.245,-0.18134,-0.76553
-0.13023,0.30195,-0.041679,-0.94347
0.33803,0.28497,0.10818,-0.89041
0.72354,0.19821,0.23156,-0.61934
0.93189,0.062933,0.29824,-0.19664
0.91209,-0.087756,0.2919,0.2742
0.66897,-0.21696,0.2141,0.67791
0.26207,-0.29304,0.083873,0.91565
-0.209,-0.29738,-0.066888,0.9292
-0.62889,-0.22891,-0.20127,0.71525
-0.89482,-0.10439,-0.28638,0.32618
-0.94166,0.045684,-0.30137,-0.14274
-0.75794,0.18457,-0.24257,-0.57672
-0.38866,0.27828,-0.12439,-0.8695
0.075777,0.30384,0.024252,-0.94939
0.52166,0.25502,0.16695,-0.79684
0.83983,0.14376,0.26878,-0.4492
0.95238,-0.002698,0.3048,0.0084301
0.83175,-0.1485,0.26619,0.46399
0.50748,-0.25794,0.16241,0.80595
0.058959,-0.30423,0.018869,0.95059
-0.40399,-0.27603,-0.12929,0.86248
-0.76803,-0.18025,-0.2458,0.56322
-0.94403,-0.040342,-0.30213,0.12605
-0.8889,0.10944,-0.28448,-0.34197
-0.61613,0.23244,-0.19719,-0.72627
-0.19252,0.29852,-0.061613,-0.93275
0.27824,0.29151,0.089047,-0.91086
0.68087,0.21314,0.21791,-0.66597
0.9168,0.082575,0.29341,-0.25801
0.92826,-0.068203,0.29708,0.21311
0.71246,-0.20228,0.22802,0.63205
0.32222,-0.28684,0.10312,0.89625
-0.14691,-0.30116,-0.047017,0.94101
-0.58007,-0.24175,-0.18565,0.75538
-0.87121,-0.12315,-0.27882,0.38481
-0.94905,0.025596,-0.30373,-0.079978
-0.79453,0.16808,-0.25428,-0.52519
-0.44547,0.26941,-0.14257,-0.84181
0.012645,0.30478,0.0040469,-0.95233
0.46767,0.26553,0.14967,-0.82969
0.80819,0.16127,0.25865,-0.50391
0.95084,0.017523,0.30431,-0.054752
0.86069,-0.13051,0.27545,0.40781
0.55981,-0.2466,0.17916,0.77052
0.12187,-0.3023,0.039005,0.94458
-0.3459,-0.284,-0.1107,0.88738
-0.72899,-0.19616,-0.23331,0.61291
-0.9336,-0.060291,-0.29879,0.18839
-0.90962,0.090336,-0.29112,-0.28227
-0.66295,0.21885,-0.21217,-0.68381
-0.25395,0.29378,-0.081276,-0.91793
0.21721,0.29678,0.069517,-0.92731
0.6352,0.22712,0.20329,-0.70966
0.89767,0.10185,0.28729,-0.31825
0.94035,-0.04835,0.30095,0.15107
0.75281,-0.18671,0.24093,0.58341
0.38095,-0.27937,0.12192,0.87291
-0.084178,-0.30362,-0.02694,0.94869
-0.5287,-0.25353,-0.1692,0.79219
-0.84377,-0.14138,-0.27004,0.44174
-0.95226,0.0053957,-0.30476,-0.01686
-0.82761,0.15085,-0.26487,-0.47134
-0.50032,0.25936,-0.16012,-0.81041
-0.050543,0.30438,-0.016176,-0.95107
0.41161,0.27487,0.13173,-0.85887
0.77299,0.17807,0.24739,-0.5564
0.94511,0.037666,0.30247,-0.11769
0.88584,-0.11196,0.2835,0.34983
0.60968,-0.23417,0.19512,0.7317
0.18425,-0.29905,0.058968,0.93442
-0.28629,-0.29071,-0.091624,0.90837
-0.68674,-0.2112,-0.21978,0.65991
-0.91905,-0.079975,-0.29413,0.24989
-0.92634,0.07083,-0.29647,-0.22132
-0.70684,0.20429,-0.22622,-0.63833
-0.31427,0.28774,-0.10058,-0.89907
0.15523,0.30073,0.049681,-0.93968
0.58674,0.2401,0.18778,-0.75022
0.87458,0.12068,0.2799,-0.37708
0.9483,-0.028284,0.3035,0.088376
0.78985,-0.17032,0.25278,0.5322
0.43801,-0.27066,0.14018,0.84572
-0.021074,-0.30474,-0.0067445,0.95218
-0.47499,-0.2642,-0.15202,0.82551
-0.81262,-0.15897,-0.26007,0.49673
-0.95129,-0.014829,-0.30445,0.046334
-0.85704,0.13295,-0.27429,-0.41541
-0.55297,0.24817,-0.17697,-0.77544
-0.11351,0.30264,-0.036327,-0.94562
0.35374,0.28301,0.11321,-0.88428
0.73439,0.19408,0.23503,-0.60644
0.93523,0.057644,0.29931,-0.18012
0.90709,-0.09291,0.29031,0.29031
0.65687,-0.22072,0.21022,0.68965
0.24582,-0.29448,0.078672,0.92014
-0.22541,-0.29615,-0.072141,0.92535
-0.64146,-0.22531,-0.20529,0.70401
-0.90045,-0.099306,-0.28818,0.31029
-0.93898,0.051012,-0.30051,-0.15939
