163 4
0.2409 -0.6293 -0.5867 0.4493
0.5545 -0.0922 -0.5452 0.6219
0.3394 0.8413 -0.2463 0.3411
0.128 0.0361 -0.453 0.8815
0.328 -0.7184 0.2976 -0.5364
0.6126 -0.3713 -0.3363 0.6114
-0.1193 0.591 -0.5084 0.6148
0.5698 -0.1222 -0.613 0.5334
-0.1065 0.23 0.7081 -0.6591
-0.8116 0.3266 0.1814 -0.4491
0.3942 -0.6874 0.3778 -0.479
0.2808 -0.6916 -0.6201 0.2413
0.546 -0.6323 -0.5219 0.1725
0.4273 -0.5874 0.3415 -0.5964
0.5433 -0.4476 -0.4616 0.5399
0.5395 -0.3853 0.5036 -0.5539
-0.6801 0.5333 -0.3663 0.3448
0.4406 -0.5975 -0.4093 0.5304
-0.396 0.4891 -0.4891 0.604
0.6941 -0.63 0.321 0.1349
-0.0175 0.0976 0.7363 -0.6694
-0.3429 0.4807 0.7452 -0.3099
0.3303 -0.5074 -0.7548 0.2524
0.5261 -0.4872 0.5406 -0.44
0.3359 -0.5907 0.3162 -0.662
0.5563 -0.0562 0.5752 -0.5971
0.7072 -0.5093 0.4692 -0.1428
0.6601 -0.2534 -0.5255 0.4731
0.5328 -0.787 0.2705 -0.1536
0.4295 -0.1941 -0.6985 0.5385
-0.8155 0.4141 0.1088 -0.3894
0.4046 -0.1886 -0.8008 0.3993
0.3031 -0.6929 0.6226 -0.201
-0.4295 0.548 0.2593 -0.6694
0.3202 -0.2065 -0.878 0.2898
0.5161 -0.4574 -0.5509 0.4701
-0.7215 0.629 -0.1531 0.2456
0.4001 -0.5721 0.3375 -0.6315
0.4392 -0.5473 -0.4507 0.5517
0.7391 -0.6655 -0.0777 0.0699
0.4333 -0.563 -0.6637 0.234
0.5854 -0.5905 0.5553 -0.0161
0.5823 -0.3162 0.6582 -0.3574
0.4154 -0.5379 -0.3519 0.6436
-0.2688 0.5901 -0.4231 0.6329
-0.612 0.4465 -0.3081 0.5755
-0.052 0.5824 -0.6525 0.482
0.4153 -0.6425 0.3313 -0.5523
0.5757 -0.7997 -0.0671 -0.1569
0.6065 -0.3849 0.5927 -0.3644
0.3455 -0.1018 -0.5708 0.7379
0.5156 -0.5374 -0.5231 0.4144
0.3634 -0.0362 0.7543 -0.5456
0.6639 -0.7135 -0.0898 -0.2052
0.4846 -0.6205 -0.2316 0.5714
-0.5315 0.6653 -0.0962 0.5154
0.4803 -0.1223 -0.5525 0.6702
0.4582 -0.529 0.4411 -0.5619
0.108 -0.1975 0.4365 -0.8711
0.6855 -0.5203 0.1807 -0.4761
0.601 -0.6294 -0.4197 0.2578
0.2388 -0.812 -0.37 0.3829
0.447 -0.5119 -0.4418 0.5857
0.543 -0.6428 0.3808 -0.3832
0.851 -0.5167 -0.0854 -0.0395
0.3823 -0.5125 0.494 -0.5892
0.5031 -0.8102 0.0488 -0.2967
0.6953 -0.6447 -0.2227 0.2265
0.5093 -0.6414 0.3482 -0.4561
0.2545 0.0622 0.3875 -0.8839
0.508 -0.0975 -0.6177 0.5923
0.6383 -0.4206 0.5228 -0.3774
0.8099 -0.5252 0.2606 0.0146
-0.6484 0.463 -0.47 0.3798
-0.7489 0.3081 0.3054 -0.5009
-0.5447 0.5591 0.3249 -0.5341
0.782 -0.4388 -0.4095 0.1682
0.4019 -0.0844 -0.5842 0.7
0.4437 -0.0984 -0.5731 0.6819
